,2011,2014,2015,2016
1,8.45,10.00,22.29,67.63
2,57.00,7.50,33.98,80.33
3,,111.75,45.00,65.90
4,34.50,4.50,,19.56
6,0.25,,,18.91
7,4.00,,,
8,,64.00,,13.18
10,1.88,,,
12,,,,4.53
20,,,,4.69
24,,,,3.71
50,,,,1.17
90,0.26,,,
Grand Total,14.80,34.52,28.07,43.07
