,2011,2014,2015,2016
Drive Train,812.00,"1,947.51","1,313.11","2,227.85"
Electronics,777.08,782.00,800.00,"1,482.00"
Misc,,,,179.76
Pneumatics,0.00,,,"1,270.18"
Scoring,273.00,921.57,783.46,"1,581.83"
Grand Total,"1,862.08","3,651.08","2,896.57","6,741.62"
