,2011,2014,2015,2016
Drive Train,43.61%,53.34%,45.33%,33.05%
Electronics,41.73%,21.42%,27.62%,21.98%
Misc,0.00%,0.00%,0.00%,2.67%
Pneumatics,0.00%,0.00%,0.00%,18.84%
Scoring,14.66%,25.24%,27.05%,23.46%
